City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Pisco,PE,67.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
2,Mataura,NZ,56.25,scattered clouds,-46.1927,168.8643,Ellie's Villa
3,Hithadhoo,MV,82.22,clear sky,-0.6,73.0833,Scoop Guest House
5,Nortelandia,BR,76.42,scattered clouds,-14.4547,-56.8028,Hotel Karysmã
6,Saint George,US,64.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
9,Busselton,AU,75.04,broken clouds,-33.65,115.3333,Observatory Guest House
10,Qujing,CN,57.94,broken clouds,25.4833,103.7833,Yulong Hotel
11,Cape Town,ZA,55.11,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
12,Sao Filipe,CV,70.75,clear sky,14.8961,-24.4956,Hotel Xaguate
13,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
14,Rikitea,PF,78.58,clear sky,-23.1203,-134.9692,People ThankYou
15,Vao,NC,78.57,light rain,-22.6667,167.4833,Hotel Kou-Bugny
18,Kalmunai,LK,82.13,broken clouds,7.4167,81.8167,VS Villa
20,Yumen,CN,67.82,clear sky,40.2833,97.2,
21,Harper,LR,79.05,light rain,4.375,-7.7169,Screensaver
22,Barstow,US,79.79,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
23,Mar Del Plata,AR,69.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
25,Bredasdorp,ZA,57.09,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
26,Boundiali,CI,74.79,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
27,Meulaboh,ID,83.59,broken clouds,4.1363,96.1285,Kost Pria
29,Salalah,OM,77.09,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
31,Sahuaripa,MX,77.59,clear sky,29.05,-109.2333,Estatua de Sahuaripa
32,Kaitangata,NZ,56.05,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
33,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
34,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
35,Komsomolskiy,UZ,61.52,broken clouds,40.4272,71.7189,Ikathouse
37,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
38,Cervo,ES,54.23,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
39,Butaritari,KI,81.68,broken clouds,3.0707,172.7902,Isles Sunset Lodge
41,Bluff,NZ,53.82,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
46,Roma,US,53.74,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
47,Atuona,PF,79.3,few clouds,-9.8,-139.0333,Villa Enata
48,Isangel,VU,80.37,light rain,-19.55,169.2667,Tanna Lodge
51,Castro,BR,62.19,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
52,Diamantino,BR,75.96,scattered clouds,-14.4086,-56.4461,Hotel Delta
53,Hermanus,ZA,52.81,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
55,Port Elizabeth,ZA,56.1,clear sky,-33.918,25.5701,39 On Nile Guest House
56,Fortuna,US,55.85,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
57,Morros,BR,75.61,broken clouds,-9.4467,-46.3003,
59,Tuatapere,NZ,54.81,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
61,Colborne,CA,55.11,light rain,44.0001,-77.8828,Colborne Guest House
62,Bengkulu,ID,76.17,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
63,Santa Cruz De Tenerife,ES,59.79,broken clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
64,Hobart,AU,68.02,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
65,Chota,PE,55.56,broken clouds,-6.55,-78.65,Hotel lmata 2
66,Christchurch,NZ,60.42,broken clouds,-43.5333,172.6333,The George
67,Albany,US,50.65,overcast clouds,42.6001,-73.9662,
68,Phan Thiet,VN,86.79,overcast clouds,10.9333,108.1,Hotel Saigon-PT
71,Faanui,PF,82.78,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
72,Lebu,CL,55.56,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
75,New Norfolk,AU,67.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
76,Oriximina,BR,75.18,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
78,Caravelas,BR,76.05,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
79,Waipawa,NZ,52.56,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
80,Sao Joao Da Barra,BR,75.18,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
82,Ranong,TH,84.13,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
83,Taoudenni,ML,78.15,clear sky,22.6783,-3.9836,
85,Grenville,GD,78.82,scattered clouds,12.1167,-61.6167,Valley Breeze Guest House
86,Garmsar,IR,67.53,overcast clouds,35.2182,52.3409,آذین فوم
87,Dalby,AU,74.75,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
92,Carnarvon,AU,86.07,few clouds,-24.8667,113.6333,Hospitality Carnarvon
94,Wanning,CN,77.94,broken clouds,18.8003,110.3967,Paradise Hotel
96,Grand Gaube,MU,75.6,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
97,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
98,Jamestown,US,54.99,moderate rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
99,Sakakah,SA,67.57,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
100,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
101,Tabou,CI,79.11,light rain,4.423,-7.3528,hotêl doufoulougou
102,Dingle,PH,80.58,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
103,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
106,Port Alfred,ZA,57.18,broken clouds,-33.5906,26.891,The Halyards Hotel
107,Puerto Madryn,AR,56.68,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
108,San Ignacio,BZ,86.14,clear sky,17.1561,-89.0714,Rainforest Haven Inn
109,Mpulungu,ZM,70.68,overcast clouds,-8.7623,31.1141,Chela moche guest house
110,Hilo,US,71.33,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
111,Goure,NE,80.49,scattered clouds,13.9835,10.2704,
112,Mopti,ML,87.84,broken clouds,14.6667,-4.0,
