City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.4187,19.2345,64.69,64,43,5.23,ZA,2022-03-28 03:23:31
1,Susangerd,31.5608,48.1831,55.76,31,0,10.11,IR,2022-03-28 03:23:32
2,Port Keats,-14.25,129.55,90.21,58,100,2.08,AU,2022-03-28 03:23:32
3,Peleduy,59.6289,112.7406,17.04,84,100,8.79,RU,2022-03-28 03:23:32
4,Vagay,57.9375,69.0217,18.72,94,100,10.18,RU,2022-03-28 03:23:33
5,Ushuaia,-54.8,-68.3,42.46,81,20,2.3,AR,2022-03-28 03:23:33
6,Thompson,55.7435,-97.8558,5.16,36,20,3.44,CA,2022-03-28 03:23:33
7,Saratovskaya,44.7103,39.2244,29.82,81,33,7.52,RU,2022-03-28 03:23:34
8,Cayenne,4.9333,-52.3333,81.09,1,75,9.22,GF,2022-03-28 03:23:34
9,Vaini,-21.2,-175.2,80.76,89,75,6.91,TO,2022-03-28 03:23:35
10,Vieira De Leiria,39.8695,-8.9324,60.48,68,100,14.74,PT,2022-03-28 03:21:40
11,Kapaa,22.0752,-159.319,80.58,71,0,10.36,US,2022-03-28 03:23:35
12,Tuktoyaktuk,69.4541,-133.0374,-9.4,70,20,12.66,CA,2022-03-28 03:21:05
13,Foam Lake,51.65,-103.5343,26.62,92,72,12.1,CA,2022-03-28 03:23:36
14,Puerto Ayora,-0.7393,-90.3518,78.42,84,83,8.08,EC,2022-03-28 03:22:11
15,Kavieng,-2.5744,150.7967,84.33,70,40,8.37,PG,2022-03-28 03:23:36
16,Cranbrook,49.4999,-115.7688,53.44,47,40,5.75,CA,2022-03-28 03:21:20
17,Cartagena,10.3997,-75.5144,80.22,83,75,8.05,CO,2022-03-28 03:18:41
18,Port Alfred,-33.5906,26.891,67.39,84,33,11.68,ZA,2022-03-28 03:20:55
19,Eureka,40.8021,-124.1637,57.67,82,100,4.99,US,2022-03-28 03:23:26
20,Barrow,71.2906,-156.7887,1.42,71,0,18.41,US,2022-03-28 03:19:29
21,Busselton,-33.65,115.3333,71.37,53,18,15.52,AU,2022-03-28 03:22:22
22,Presidencia Roque Saenz Pena,-26.7852,-60.4388,67.05,61,1,6.53,AR,2022-03-28 03:23:42
23,Puerto Escondido,15.85,-97.0667,79.63,83,0,0.0,MX,2022-03-28 03:23:42
24,Upernavik,72.7868,-56.1549,14.49,77,98,6.89,GL,2022-03-28 03:23:42
25,Champa,22.05,82.65,86.65,9,2,1.52,IN,2022-03-28 03:23:42
26,Bluff,-46.6,168.3333,60.67,76,4,4.52,NZ,2022-03-28 03:23:43
27,Ribeira Grande,38.5167,-28.7,59.77,84,98,10.51,PT,2022-03-28 03:23:43
28,Khatanga,71.9667,102.5,-2.56,95,100,10.36,RU,2022-03-28 03:23:43
29,Albany,42.6001,-73.9662,24.39,62,100,5.01,US,2022-03-28 03:21:11
30,Hithadhoo,-0.6,73.0833,81.43,64,1,5.46,MV,2022-03-28 03:20:56
31,Hobart,-42.8794,147.3294,70.27,65,75,5.75,AU,2022-03-28 03:23:23
32,Georgetown,5.4112,100.3354,89.53,76,20,8.05,MY,2022-03-28 03:22:38
33,Mancio Lima,-7.6142,-72.8958,71.67,100,100,3.44,BR,2022-03-28 03:23:44
34,Clyde River,70.4692,-68.5914,-7.37,77,100,9.22,CA,2022-03-28 03:22:04
35,Onega,63.9061,38.1404,6.87,99,88,2.13,RU,2022-03-28 03:23:45
36,Sur,22.5667,59.5289,81.39,38,0,2.71,OM,2022-03-28 03:23:45
37,Troitskoye,52.9821,84.6757,33.15,100,100,8.55,RU,2022-03-28 03:23:46
38,Buin,-33.7333,-70.75,71.87,38,100,2.21,CL,2022-03-28 03:19:27
39,Yellowknife,62.456,-114.3525,6.3,78,20,2.3,CA,2022-03-28 03:23:46
40,Ossora,59.2353,163.0719,28.06,95,100,24.4,RU,2022-03-28 03:23:46
41,Codrington,-38.2667,141.9667,68.16,59,12,11.14,AU,2022-03-28 03:23:47
42,Iqaluit,63.7506,-68.5145,11.93,92,100,4.61,CA,2022-03-28 03:21:02
43,Vao,-22.6667,167.4833,77.05,66,10,16.51,NC,2022-03-28 03:23:47
44,Rikitea,-23.1203,-134.9692,79.39,64,66,6.93,PF,2022-03-28 03:21:03
45,Avarua,-21.2078,-159.775,78.85,94,75,1.14,CK,2022-03-28 03:22:16
46,Agropoli,40.3469,14.9966,53.44,77,100,5.84,IT,2022-03-28 03:24:48
47,Mataura,-46.1927,168.8643,74.34,46,0,4.99,NZ,2022-03-28 03:22:09
48,Tasiilaq,65.6145,-37.6368,26.76,74,100,10.31,GL,2022-03-28 03:20:55
49,Bambous Virieux,-20.3428,57.7575,79.05,78,40,4.61,MU,2022-03-28 03:24:49
50,Maputo,-25.9653,32.5892,71.28,90,40,4.0,MZ,2022-03-28 03:24:49
51,Miraflores,19.2167,-98.8083,67.03,27,54,4.47,MX,2022-03-28 03:24:49
52,Pombas,17.1503,-25.0201,67.78,77,53,12.01,CV,2022-03-28 03:24:50
53,Salinas,36.6777,-121.6555,59.81,82,40,6.42,US,2022-03-28 03:20:32
54,Namibe,-15.1961,12.1522,70.75,70,92,10.74,AO,2022-03-28 03:24:50
55,Fortuna,40.5982,-124.1573,55.74,83,100,1.01,US,2022-03-28 03:22:11
56,Tuatapere,-46.1333,167.6833,65.32,69,14,6.31,NZ,2022-03-28 03:24:51
57,Atuona,-9.8,-139.0333,79.3,76,97,16.44,PF,2022-03-28 03:20:59
58,Hereford,52.0568,-2.7148,47.21,95,2,0.85,GB,2022-03-28 03:24:51
59,Tucupita,9.0622,-62.051,71.2,98,89,3.29,VE,2022-03-28 03:24:51
60,Fare,-16.7,-151.0167,82.31,71,20,12.66,PF,2022-03-28 03:24:52
61,Nabire,-3.3667,135.4833,87.62,56,72,4.94,ID,2022-03-28 03:24:52
62,Najran,17.4924,44.1277,56.05,30,4,3.42,SA,2022-03-28 03:24:52
63,Myaundzha,63.0494,147.1858,6.57,74,7,5.28,RU,2022-03-28 03:24:53
64,Caravelas,-17.7125,-39.2481,75.6,87,2,4.47,BR,2022-03-28 03:24:53
65,Kantunilkin,21.0917,-87.45,64.63,77,0,2.42,MX,2022-03-28 03:24:54
66,Ahipara,-35.1667,173.1667,71.06,55,0,10.07,NZ,2022-03-28 03:24:54
67,Ponta Do Sol,32.6667,-17.1,64.06,70,100,4.12,PT,2022-03-28 03:21:00
68,Saint-Philippe,-21.3585,55.7679,78.39,84,47,8.86,RE,2022-03-28 03:24:55
69,Isangel,-19.55,169.2667,83.3,70,87,8.9,VU,2022-03-28 03:20:58
70,Hasaki,35.7333,140.8333,61.2,54,97,16.98,JP,2022-03-28 03:24:55
71,Tiksi,71.6872,128.8694,2.1,88,100,3.6,RU,2022-03-28 03:20:52
72,Bunia,1.5667,30.25,63.43,96,87,3.62,CD,2022-03-28 03:24:56
73,Fonte Boa,-2.4959,-66.2662,73.62,99,100,0.63,BR,2022-03-28 03:24:56
74,Saldanha,-33.0117,17.9442,61.56,79,15,8.37,ZA,2022-03-28 03:24:57
75,Morant Bay,17.8815,-76.4093,80.22,82,20,12.73,JM,2022-03-28 03:24:57
76,Socorro,31.6546,-106.3033,78.19,9,0,9.22,US,2022-03-28 03:24:57
77,Cidreira,-30.1811,-50.2056,68.05,82,0,10.29,BR,2022-03-28 03:24:58
78,Hot Springs,34.5037,-93.0552,54.0,52,0,9.22,US,2022-03-28 03:24:58
79,Ajaccio,42.0,8.9167,53.65,61,0,8.05,FR,2022-03-28 03:24:59
80,Saint George,37.1041,-113.5841,73.99,10,0,13.8,US,2022-03-28 03:20:14
81,Karratha,-20.7377,116.8463,84.42,60,93,10.25,AU,2022-03-28 03:24:59
82,Jamestown,42.097,-79.2353,20.01,55,100,12.66,US,2022-03-28 03:20:42
83,San Patricio,28.017,-97.5169,69.89,79,36,15.32,US,2022-03-28 03:22:20
84,Pangnirtung,66.1451,-65.7125,13.35,58,65,6.51,CA,2022-03-28 03:25:00
85,Oranjemund,-28.55,16.4333,61.72,68,0,0.67,NA,2022-03-28 03:25:00
86,Shelburne,44.0787,-80.2041,14.76,86,40,16.33,CA,2022-03-28 03:25:01
87,Bengkulu,-3.8004,102.2655,83.23,63,27,6.2,ID,2022-03-28 03:25:01
88,Port Elizabeth,-33.918,25.5701,62.89,99,0,3.44,ZA,2022-03-28 03:25:01
89,Qaanaaq,77.484,-69.3632,10.15,94,100,6.11,GL,2022-03-28 03:26:02
90,Kavaratti,10.5669,72.642,82.89,76,79,6.76,IN,2022-03-28 03:22:10
91,Libreville,0.3925,9.4537,77.02,94,75,16.11,GA,2022-03-28 03:26:03
92,Gorontalo,0.5412,123.0595,87.51,60,99,3.4,ID,2022-03-28 03:26:03
93,Aleksandrow Kujawski,52.8766,18.6935,42.28,92,13,10.6,PL,2022-03-28 03:26:03
94,Hamilton,39.1834,-84.5333,31.05,63,0,11.5,US,2022-03-28 03:26:04
95,Chokurdakh,70.6333,147.9167,1.78,90,23,5.12,RU,2022-03-28 03:26:04
96,Biak,-0.9131,122.8766,83.07,67,100,1.07,ID,2022-03-28 03:26:05
97,Vila Franca Do Campo,37.7167,-25.4333,59.41,86,83,8.32,PT,2022-03-28 03:26:05
98,San Policarpo,12.1791,125.5072,81.61,85,34,12.66,PH,2022-03-28 03:26:05
99,Parvatsar,26.8833,74.7667,81.52,15,0,14.23,IN,2022-03-28 03:26:06
100,Lebu,-37.6167,-73.65,52.27,86,3,8.28,CL,2022-03-28 03:26:06
101,Cotonou,6.3654,2.4183,84.18,84,40,9.22,BJ,2022-03-28 03:26:07
102,Sindou,10.6667,-5.1667,83.34,45,31,2.71,BF,2022-03-28 03:26:07
103,Ayan,56.45,138.1667,23.47,73,4,5.46,RU,2022-03-28 03:26:08
104,Ishigaki,24.3448,124.1572,68.13,100,75,23.02,JP,2022-03-28 03:26:08
105,Beloha,-25.1667,45.05,71.89,86,100,11.39,MG,2022-03-28 03:26:08
106,Anadyr,64.75,177.4833,-3.5,83,0,6.71,RU,2022-03-28 03:26:09
107,Cape Town,-33.9258,18.4232,64.11,74,20,10.36,ZA,2022-03-28 03:20:38
108,Cherskiy,68.75,161.3,8.69,82,89,8.16,RU,2022-03-28 03:20:53
109,Lompoc,34.6391,-120.4579,57.13,69,100,17.27,US,2022-03-28 03:26:09
110,Salta,-24.7859,-65.4117,59.58,79,0,6.91,AR,2022-03-28 03:26:10
111,Baruun-Urt,46.6806,113.2792,42.17,21,95,9.04,MN,2022-03-28 03:26:10
112,Mar Del Plata,-38.0023,-57.5575,59.88,79,0,3.44,AR,2022-03-28 03:22:12
113,Igarka,67.4667,86.5833,-2.94,99,100,5.79,RU,2022-03-28 03:26:11
114,Tucurui,-3.7661,-49.6725,73.92,98,100,2.64,BR,2022-03-28 03:26:11
115,Bredasdorp,-34.5322,20.0403,63.68,70,100,4.05,ZA,2022-03-28 03:26:11
116,Baykit,61.67,96.37,14.22,87,82,5.86,RU,2022-03-28 03:26:12
117,Phrae,18.0833,100.0,83.07,54,0,6.91,TH,2022-03-28 03:26:12
118,Port Hardy,50.6996,-127.4199,46.58,81,75,3.44,CA,2022-03-28 03:26:13
119,Charlestown,-32.95,151.6667,75.72,87,100,1.01,AU,2022-03-28 03:26:13
120,Iquitos,-3.7481,-73.2472,73.44,100,100,0.0,PE,2022-03-28 03:25:03
121,Louga,58.7372,29.8453,26.19,95,100,11.77,RU,2022-03-28 03:26:14
122,Guaruja,-23.9931,-46.2564,77.9,26,100,1.5,BR,2022-03-28 03:26:14
123,Idrinskoye,54.3708,92.1358,17.28,82,11,1.48,RU,2022-03-28 03:26:14
124,Bad Soden-Salmunster,50.2757,9.3671,46.2,92,0,2.15,DE,2022-03-28 03:26:15
125,Karachi,24.9056,67.0822,80.42,65,0,5.75,PK,2022-03-28 03:24:24
126,Banda Aceh,5.5577,95.3222,84.11,70,86,2.73,ID,2022-03-28 03:26:15
127,Marsa Matruh,31.3525,27.2453,46.6,93,0,0.0,EG,2022-03-28 03:26:16
128,Butaritari,3.0707,172.7902,81.54,67,51,7.96,KI,2022-03-28 03:22:18
129,Sola,-13.8833,167.55,83.08,71,97,12.82,VU,2022-03-28 03:26:16
130,Rebrikha,53.0733,82.3408,28.27,95,98,2.77,RU,2022-03-28 03:26:17
131,Broome,42.2506,-75.833,20.86,66,75,14.97,US,2022-03-28 03:21:00
132,Nizwa,22.9333,57.5333,78.64,22,0,1.39,OM,2022-03-28 03:26:17
133,Bischofswerda,51.1277,14.1797,45.75,89,6,3.8,DE,2022-03-28 03:26:18
134,Ostrovnoy,68.0531,39.5131,19.51,70,100,9.53,RU,2022-03-28 03:27:18
135,Aklavik,68.2191,-135.0107,-0.96,97,100,3.85,CA,2022-03-28 03:20:48
136,Plettenberg Bay,-34.0527,23.3716,69.33,51,26,6.85,ZA,2022-03-28 03:27:18
137,Lagoa,39.05,-27.9833,58.46,84,96,8.01,PT,2022-03-28 03:27:19
138,Medvedka,61.1629,46.387,11.43,87,100,11.9,RU,2022-03-28 03:27:19
139,Panaba,21.2833,-88.2667,69.21,65,0,11.18,MX,2022-03-28 03:27:20
140,Badajoz,38.6667,-6.1667,51.26,75,100,5.23,ES,2022-03-28 03:27:20
141,Greenville,35.6127,-77.3663,46.13,38,0,9.22,US,2022-03-28 03:27:20
142,Vila Velha,-20.3297,-40.2925,78.75,87,20,9.22,BR,2022-03-28 03:27:21
143,Mahebourg,-20.4081,57.7,79.09,78,40,4.61,MU,2022-03-28 03:27:21
144,San Cristobal,7.7669,-72.225,68.18,87,99,1.92,VE,2022-03-28 03:27:21
145,New Norfolk,-42.7826,147.0587,69.93,57,83,1.01,AU,2022-03-28 03:20:58
146,Surab,28.4914,66.2585,64.04,18,0,1.88,PK,2022-03-28 03:27:22
147,Saskylakh,71.9167,114.0833,0.18,92,100,7.25,RU,2022-03-28 03:27:22
148,Leningradskiy,69.3833,178.4167,0.82,89,29,2.37,RU,2022-03-28 03:27:23
149,Nome,64.5011,-165.4064,30.27,69,0,4.61,US,2022-03-28 03:20:59
150,Esperance,-33.8667,121.9,67.12,60,71,11.14,AU,2022-03-28 03:20:54
151,Balaipungut,1.05,101.2833,87.82,61,11,4.7,ID,2022-03-28 03:24:29
152,Porto Novo,6.4965,2.6036,84.02,83,17,7.54,BJ,2022-03-28 03:27:23
153,Gwadar,25.1216,62.3254,77.99,72,0,10.36,PK,2022-03-28 03:27:24
154,Carnarvon,-24.8667,113.6333,89.67,37,0,18.41,AU,2022-03-28 03:27:24
155,Camalu,30.85,-116.0667,59.23,76,100,1.66,MX,2022-03-28 03:27:25
156,Olafsvik,64.8945,-23.7142,33.98,77,100,20.13,IS,2022-03-28 03:27:25
157,Faanui,-16.4833,-151.75,82.38,72,43,13.27,PF,2022-03-28 03:27:26
158,Zheleznodorozhnyy,55.7503,38.0042,20.75,84,98,8.68,RU,2022-03-28 03:27:26
159,Eyl,7.9803,49.8164,73.47,78,35,9.66,SO,2022-03-28 03:27:26
160,Vanimo,-2.6741,141.3028,82.13,84,100,9.4,PG,2022-03-28 03:27:27
161,Kongolo,-5.3833,27.0,69.31,97,100,2.33,CD,2022-03-28 03:27:27
162,Altay,47.8667,88.1167,32.16,95,100,5.64,CN,2022-03-28 03:27:28
163,Yaring,6.8662,101.3689,84.92,70,4,2.1,TH,2022-03-28 03:27:28
164,Wote,-1.7808,37.6288,64.13,93,31,0.78,KE,2022-03-28 03:27:28
165,Albury,-36.0833,146.9167,80.33,78,100,3.44,AU,2022-03-28 03:27:29
166,Awbari,26.5921,12.7805,64.24,9,22,9.33,LY,2022-03-28 03:27:29
167,Svetlaya,46.5389,138.3297,38.26,58,55,4.05,RU,2022-03-28 03:27:30
168,Alice Springs,-23.7,133.8833,87.35,12,3,9.22,AU,2022-03-28 03:25:12
169,Punta Arenas,-53.15,-70.9167,42.12,75,26,13.58,CL,2022-03-28 03:20:54
170,Camocim,-2.9022,-40.8411,76.28,93,100,7.65,BR,2022-03-28 03:27:30
171,Kandalaksha,67.162,32.4123,1.89,97,89,4.34,RU,2022-03-28 03:27:30
172,Klaksvik,62.2266,-6.589,38.32,77,100,16.42,FO,2022-03-28 03:22:11
173,Labrea,-7.2586,-64.7981,72.7,99,97,2.51,BR,2022-03-28 03:27:31
174,Souillac,-20.5167,57.5167,79.18,78,40,4.61,MU,2022-03-28 03:27:31
